geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US24510010100,"Census Tract 101, Baltimore, MD",3022,214,2964,220,2563,191,227,110,0,12,135,98,0,12,0,12,39,32,0,12,39,32,58,39,58,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510010200,"Census Tract 102, Baltimore, MD",2869,208,2800,200,2545,213,107,77,0,12,107,108,0,12,0,12,41,34,0,12,41,34,69,46,48,40,0,12,0,12,0,12,0,12,9,13,12,17,12,17,0,12
14000US24510010300,"Census Tract 103, Baltimore, MD",2571,237,2472,237,2188,243,39,35,0,12,165,88,0,12,0,12,80,55,0,12,80,55,99,85,99,85,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510010400,"Census Tract 104, Baltimore, MD",2478,273,2377,266,2053,256,61,57,0,12,160,73,0,12,38,35,65,54,0,12,65,54,101,89,61,78,1,2,0,12,0,12,0,12,39,49,0,12,0,12,0,12
14000US24510010500,"Census Tract 105, Baltimore, MD",1976,286,1682,148,1500,139,91,74,0,12,31,23,0,12,26,40,34,37,0,12,34,37,294,269,269,265,12,17,12,19,0,12,0,12,1,3,0,12,0,12,0,12
14000US24510020100,"Census Tract 201, Baltimore, MD",1713,186,1569,189,1310,184,144,85,0,12,56,30,0,12,0,12,59,46,0,12,59,46,144,81,56,40,0,12,11,18,0,12,0,12,40,56,37,46,6,9,31,45
14000US24510020200,"Census Tract 202, Baltimore, MD",1835,231,1527,174,1137,174,186,66,0,12,161,73,0,12,0,12,43,28,0,12,43,28,308,175,259,175,11,11,0,12,0,12,0,12,24,34,14,17,5,8,9,15
14000US24510020300,"Census Tract 203, Baltimore, MD",3877,509,3612,503,2958,494,89,76,0,12,364,199,0,12,0,12,201,132,0,12,201,132,265,130,237,125,0,12,0,12,0,12,0,12,0,12,28,33,14,26,14,23
14000US24510030100,"Census Tract 301, Baltimore, MD",2696,394,2454,402,333,155,2036,369,26,35,48,55,0,12,0,12,11,21,0,12,11,21,242,206,230,204,0,12,0,12,0,12,0,12,12,19,0,12,0,12,0,12
14000US24510030200,"Census Tract 302, Baltimore, MD",2327,267,2167,294,1148,172,765,182,0,12,199,109,0,12,7,16,48,58,0,12,48,58,160,117,124,103,0,12,0,12,0,12,0,12,36,45,0,12,0,12,0,12
14000US24510040100,"Census Tract 401, Baltimore, MD",4404,567,4024,580,1953,354,869,362,0,12,913,304,58,85,129,128,102,100,0,12,102,100,380,188,214,126,25,30,0,12,0,12,0,12,0,12,141,112,34,54,107,104
14000US24510040200,"Census Tract 402, Baltimore, MD",901,237,875,238,359,105,308,115,0,12,123,68,8,18,26,52,51,35,7,13,44,30,26,19,19,18,3,6,0,12,0,12,0,12,0,12,4,8,0,12,4,8
14000US24510060100,"Census Tract 601, Baltimore, MD",2974,366,2305,326,670,158,1477,294,2,5,103,77,0,12,0,12,53,47,26,39,27,25,669,281,193,214,0,12,53,107,0,12,0,12,349,235,74,84,9,15,65,85
14000US24510060200,"Census Tract 602, Baltimore, MD",3241,491,2811,398,1284,203,1354,381,19,23,58,50,0,12,0,12,96,60,0,12,96,60,430,325,337,311,16,24,0,12,0,12,0,12,77,89,0,12,0,12,0,12
14000US24510060300,"Census Tract 603, Baltimore, MD",1865,195,1658,191,717,132,756,132,8,12,82,40,0,12,0,12,95,76,0,12,95,76,207,144,193,142,0,12,0,12,0,12,0,12,3,5,11,12,0,12,11,12
14000US24510060400,"Census Tract 604, Baltimore, MD",1376,160,1294,164,368,132,764,180,7,8,105,57,0,12,0,12,50,40,0,12,50,40,82,75,79,74,0,12,0,12,0,12,0,12,0,12,3,7,3,7,0,12
14000US24510070100,"Census Tract 701, Baltimore, MD",2565,359,2202,339,82,62,2047,323,22,36,0,12,0,12,36,54,15,16,0,12,15,16,363,266,102,121,121,192,0,12,0,12,0,12,140,155,0,12,0,12,0,12
14000US24510070200,"Census Tract 702, Baltimore, MD",3028,576,2877,534,69,64,2795,527,0,12,0,12,0,12,0,12,13,21,0,12,13,21,151,193,23,26,128,191,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510070300,"Census Tract 703, Baltimore, MD",856,217,721,201,39,29,660,199,17,29,0,12,0,12,5,10,0,12,0,12,0,12,135,131,57,84,0,12,0,12,0,12,0,12,78,110,0,12,0,12,0,12
14000US24510070400,"Census Tract 704, Baltimore, MD",1546,276,1517,275,88,40,1291,267,0,12,129,52,0,12,0,12,9,13,0,12,9,13,29,28,29,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510080101,"Census Tract 801.01, Baltimore, MD",3976,340,3905,354,1252,287,2454,369,0,12,30,17,0,12,0,12,169,156,0,12,169,156,71,89,14,22,0,12,0,12,0,12,0,12,26,40,31,48,0,12,31,48
14000US24510080102,"Census Tract 801.02, Baltimore, MD",2105,286,2100,286,61,50,2020,269,0,12,12,18,0,12,0,12,7,11,0,12,7,11,5,8,0,12,5,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510080200,"Census Tract 802, Baltimore, MD",1274,266,1274,266,57,75,1217,254,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510080301,"Census Tract 803.01, Baltimore, MD",1696,208,1602,243,2,3,1582,243,9,15,9,14,0,12,0,12,0,12,0,12,0,12,94,111,37,59,1,2,0,12,0,12,0,12,56,88,0,12,0,12,0,12
14000US24510080302,"Census Tract 803.02, Baltimore, MD",2715,347,2683,337,0,12,2580,331,0,12,0,12,0,12,0,12,103,163,0,12,103,163,32,52,0,12,32,52,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510080400,"Census Tract 804, Baltimore, MD",1280,298,1185,267,135,128,1037,242,0,12,0,12,0,12,0,12,13,15,4,8,9,13,95,151,95,151,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
