geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US06001400100,"Census Tract 4001, Alameda, CA",3115,219,3011,219,2055,265,128,73,0,12,592,205,0,12,69,75,167,100,8,13,159,98,104,57,67,52,0,12,0,12,7,11,0,12,30,26,0,12,0,12,0,12
14000US06001400200,"Census Tract 4002, Alameda, CA",2025,110,1847,121,1436,147,59,46,4,6,183,65,0,12,6,8,159,68,0,12,159,68,178,75,115,63,0,12,0,12,0,12,0,12,11,8,52,35,0,12,52,35
14000US06001400300,"Census Tract 4003, Alameda, CA",5000,311,4636,301,3458,270,380,184,0,17,535,136,39,64,20,28,204,134,0,17,204,134,364,139,299,127,0,17,0,17,0,17,0,17,65,66,0,17,0,17,0,17
14000US06001400400,"Census Tract 4004, Alameda, CA",3843,366,3423,336,2551,304,229,135,21,26,373,115,0,12,0,12,249,112,0,12,249,112,420,231,152,80,0,12,11,19,0,12,0,12,188,212,69,50,21,24,48,45
14000US06001400500,"Census Tract 4005, Alameda, CA",3786,355,3452,305,1885,270,990,214,0,12,264,109,23,36,12,18,278,169,20,21,258,165,334,183,151,110,0,12,0,12,0,12,0,12,91,102,92,81,22,25,70,71
14000US06001400600,"Census Tract 4006, Alameda, CA",1638,137,1514,133,817,151,343,103,3,6,144,72,13,20,21,28,173,72,0,12,173,72,124,65,68,41,17,24,0,12,24,28,0,12,8,12,7,12,0,12,7,12
14000US06001400700,"Census Tract 4007, Alameda, CA",5116,570,4132,387,2032,324,1449,279,70,89,286,108,0,17,0,17,295,142,0,17,295,142,984,518,294,133,9,14,22,28,0,17,0,17,540,500,119,113,95,112,24,27
14000US06001400800,"Census Tract 4008, Alameda, CA",3792,420,3449,419,1677,220,1005,347,8,13,522,128,0,12,0,12,237,116,64,56,173,80,343,263,45,39,44,52,0,12,0,12,0,12,173,251,81,84,49,50,32,36
14000US06001400900,"Census Tract 4009, Alameda, CA",2471,256,2152,274,1036,244,750,292,15,24,140,71,0,12,78,70,133,66,10,17,123,65,319,194,157,148,15,23,0,12,0,12,0,12,147,143,0,12,0,12,0,12
14000US06001401000,"Census Tract 4010, Alameda, CA",6024,499,4932,583,1906,421,2003,610,6,9,269,125,96,116,46,50,606,346,80,112,526,310,1092,371,454,326,108,137,0,17,0,17,0,17,411,274,119,70,95,68,24,30
