geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US11001000100,"Census Tract 1, District of Columbia, DC",5160,480,4406,459,3928,460,34,41,0,17,320,177,0,17,0,17,124,118,0,17,124,118,754,305,626,258,0,17,0,17,0,17,0,17,128,121,0,17,0,17,0,17
14000US11001000201,"Census Tract 2.01, District of Columbia, DC",3817,700,3441,714,2182,412,332,164,6,14,708,264,0,12,0,12,213,108,8,18,205,109,376,121,274,97,21,27,0,12,13,29,0,12,62,56,6,14,0,12,6,14
14000US11001000202,"Census Tract 2.02, District of Columbia, DC",4541,688,4136,598,3372,502,270,257,41,95,287,171,14,22,0,12,152,113,0,12,152,113,405,216,251,141,26,60,0,12,0,12,0,12,118,132,10,18,0,12,10,18
14000US11001000300,"Census Tract 3, District of Columbia, DC",6334,530,5915,575,4881,434,462,381,0,17,470,212,0,17,0,17,102,64,22,27,80,62,419,202,419,202,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
14000US11001000400,"Census Tract 4, District of Columbia, DC",1428,133,1205,127,1036,112,43,33,0,12,89,63,0,12,0,12,37,34,0,12,37,34,223,105,202,87,0,12,0,12,0,12,0,12,21,28,0,12,0,12,0,12
14000US11001000501,"Census Tract 5.01, District of Columbia, DC",3545,295,2957,345,2661,317,147,87,0,12,82,55,0,12,0,12,67,70,0,12,67,70,588,275,282,151,15,24,0,12,0,12,0,12,271,234,20,35,20,35,0,12
14000US11001000502,"Census Tract 5.02, District of Columbia, DC",3371,263,2879,220,2635,225,55,33,0,12,112,55,11,17,0,12,66,42,0,12,66,42,492,197,350,184,51,53,26,40,9,15,0,12,56,40,0,12,0,12,0,12
14000US11001000600,"Census Tract 6, District of Columbia, DC",4969,338,4229,345,3512,422,337,147,0,12,291,205,0,12,0,12,89,98,0,12,89,98,740,343,530,360,109,109,0,12,0,12,0,12,52,74,49,77,0,12,49,77
14000US11001000701,"Census Tract 7.01, District of Columbia, DC",5873,433,5538,467,4335,571,553,267,54,72,425,267,0,17,0,17,171,125,0,17,171,125,335,190,169,107,0,17,0,17,0,17,0,17,124,130,42,50,42,50,0,17
14000US11001000702,"Census Tract 7.02, District of Columbia, DC",3355,380,2971,355,2250,347,218,122,0,12,312,138,0,12,90,60,101,70,0,12,101,70,384,193,311,180,0,12,25,41,0,12,0,12,13,24,35,38,20,32,15,23
14000US11001000801,"Census Tract 8.01, District of Columbia, DC",6426,511,5685,521,4501,430,534,362,0,17,378,163,0,17,11,17,261,157,13,20,248,153,741,234,460,247,0,17,30,46,8,20,0,17,154,109,89,88,0,17,89,88
14000US11001000802,"Census Tract 8.02, District of Columbia, DC",3567,318,2987,291,2310,323,263,141,0,12,292,140,0,12,0,12,122,71,26,32,96,65,580,217,348,154,58,79,0,12,0,12,0,12,80,78,94,77,35,55,59,50
14000US11001000901,"Census Tract 9.01, District of Columbia, DC",7448,417,6441,420,5177,412,521,216,20,35,527,175,0,17,8,18,188,98,23,28,165,99,1007,275,804,277,32,38,0,17,0,17,0,17,144,77,27,30,12,18,15,24
14000US11001000902,"Census Tract 9.02, District of Columbia, DC",2564,199,2162,158,1873,155,87,56,0,12,57,39,0,12,0,12,145,84,0,12,145,84,402,223,362,221,17,26,0,12,0,12,0,12,5,7,18,26,0,12,18,26
14000US11001001001,"Census Tract 10.01, District of Columbia, DC",7742,471,7072,399,5895,406,304,121,0,17,422,139,0,17,19,33,432,191,17,26,415,190,670,282,596,267,0,17,0,17,0,17,0,17,74,101,0,17,0,17,0,17
14000US11001001002,"Census Tract 10.02, District of Columbia, DC",3519,461,2978,310,2320,258,194,112,0,12,256,106,0,12,23,21,185,117,0,12,185,117,541,406,387,400,0,12,0,12,0,12,0,12,18,31,136,123,101,118,35,40
14000US11001001100,"Census Tract 11, District of Columbia, DC",5110,308,4669,350,3909,362,285,157,27,69,270,96,17,29,0,17,161,132,0,17,161,132,441,312,333,298,15,24,0,17,0,17,0,17,74,87,19,31,19,31,0,17
14000US11001001200,"Census Tract 12, District of Columbia, DC",5247,487,4736,459,3869,383,301,200,0,17,264,165,0,17,0,17,302,117,0,17,302,117,511,265,375,231,37,61,0,17,81,123,0,17,18,29,0,17,0,17,0,17
14000US11001001301,"Census Tract 13.01, District of Columbia, DC",4133,441,3880,461,2818,332,578,251,0,12,450,333,0,12,0,12,34,40,0,12,34,40,253,167,242,165,0,12,0,12,11,16,0,12,0,12,0,12,0,12,0,12
14000US11001001302,"Census Tract 13.02, District of Columbia, DC",7623,747,6754,736,5515,714,537,332,0,17,543,233,0,17,24,38,135,99,0,17,135,99,869,298,303,194,93,119,0,17,0,17,0,17,363,253,110,137,110,137,0,17
14000US11001001401,"Census Tract 14.01, District of Columbia, DC",3548,249,3180,253,2399,243,268,106,8,14,402,253,0,12,13,20,90,70,0,12,90,70,368,199,312,184,14,23,11,16,0,12,0,12,31,47,0,12,0,12,0,12
14000US11001001402,"Census Tract 14.02, District of Columbia, DC",3443,277,2828,258,2119,251,286,84,0,12,303,119,16,26,12,20,92,62,0,12,92,62,615,269,423,248,16,17,0,12,0,12,0,12,138,99,38,37,0,12,38,37
14000US11001001500,"Census Tract 15, District of Columbia, DC",6186,314,5609,367,4992,391,358,130,0,17,78,57,0,17,0,17,181,188,0,17,181,188,577,198,577,198,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
14000US11001001600,"Census Tract 16, District of Columbia, DC",4688,333,4311,303,1349,177,2735,320,0,12,100,59,0,12,0,12,127,78,0,12,127,78,377,204,80,81,131,159,0,12,0,12,0,12,82,65,84,74,69,71,15,22
14000US11001001702,"Census Tract 17.02, District of Columbia, DC",3346,346,2827,301,1360,287,1313,353,0,12,42,52,0,12,10,15,102,66,5,11,97,65,519,309,245,150,9,13,0,12,0,12,11,17,225,268,29,31,14,21,15,24
14000US11001001803,"Census Tract 18.03, District of Columbia, DC",4328,480,2793,400,193,78,2537,386,0,12,9,15,0,12,8,13,46,51,0,12,46,51,1535,454,112,99,31,32,0,12,0,12,0,12,1344,456,48,55,20,35,28,40
14000US11001001804,"Census Tract 18.04, District of Columbia, DC",5879,560,4192,539,281,98,3689,480,0,17,55,71,0,17,137,213,30,40,0,17,30,40,1687,653,337,348,223,236,0,17,0,17,0,17,1127,588,0,17,0,17,0,17
14000US11001001901,"Census Tract 19.01, District of Columbia, DC",4315,487,3456,316,694,171,2573,309,0,12,117,159,0,12,22,37,50,38,0,12,50,38,859,389,282,163,84,125,0,12,0,12,0,12,493,429,0,12,0,12,0,12
14000US11001001902,"Census Tract 19.02, District of Columbia, DC",2605,246,2110,283,364,134,1625,292,7,12,16,14,0,12,0,12,98,49,0,12,98,49,495,246,247,244,74,110,0,12,0,12,0,12,140,138,34,43,4,6,30,43
14000US11001002001,"Census Tract 20.01, District of Columbia, DC",3502,404,2297,326,460,124,1433,271,6,8,90,86,0,12,213,212,95,53,8,13,87,52,1205,356,296,187,109,150,60,96,0,12,0,12,740,310,0,12,0,12,0,12
