GEOID,name,total_population_17,total_population_25_over_17,median_income_17,median_home_value_17,educational_attainment_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,some_other_race_alone,two_or_more,hispanic_or_latino_17,city,metro_area,state,county,tract,total_population_00,white_alone_00,black_alone_00,native_alone_00,asian_alone_00,native_hawaiian_pacific_islander_00,hispanic_or_latino_00,total_population_25_over_00,median_income_00,median_home_value_00,educational_attainment_00
11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",2454,1425.0,26250.0,345600.0,308.0,122.0,2278.0,0.0,0.0,0.0,0.0,17.0,37.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 75.03,2515.0,28.0,2447.0,3.0,7.0,1.0,26.0,1456.0,21402.0,99200.0,55.0
11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",4855,3463.0,34840.0,255000.0,727.0,311.0,4292.0,0.0,0.0,13.0,0.0,41.0,198.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 76.01,4572.0,108.0,4393.0,7.0,5.0,0.0,57.0,2998.0,32930.0,101300.0,249.0
11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",2524,1817.0,33750.0,250000.0,344.0,20.0,2280.0,0.0,0.0,0.0,0.0,130.0,94.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 77.09,1979.0,29.0,1899.0,7.0,8.0,0.0,35.0,1323.0,29332.0,111600.0,135.0
11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",3691,2838.0,56404.0,356600.0,1008.0,211.0,2688.0,68.0,71.0,0.0,0.0,66.0,587.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 95.08,2860.0,25.0,2762.0,5.0,17.0,0.0,41.0,2138.0,41972.0,136300.0,457.0
11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",2979,1526.0,30728.0,298600.0,252.0,52.0,2375.0,0.0,0.0,15.0,0.0,46.0,491.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 99.04,1863.0,12.0,1826.0,6.0,2.0,0.0,17.0,1111.0,26745.0,126300.0,43.0
11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",3252,2345.0,40605.0,318100.0,788.0,398.0,2571.0,0.0,90.0,0.0,7.0,22.0,164.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 89.03,2396.0,13.0,2328.0,2.0,14.0,0.0,35.0,1725.0,29698.0,85000.0,155.0
11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",2918,2040.0,26215.0,330900.0,382.0,309.0,2243.0,0.0,14.0,0.0,0.0,59.0,293.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 92.04,2322.0,29.0,2177.0,7.0,8.0,0.0,101.0,1554.0,22063.0,111700.0,106.0
11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",3120,2322.0,51813.0,258000.0,376.0,57.0,3029.0,0.0,11.0,0.0,0.0,21.0,2.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 99.02,2993.0,49.0,2901.0,7.0,4.0,2.0,29.0,2118.0,41146.0,110500.0,293.0
11001000100,"Census Tract 1, District of Columbia, District of Columbia",5170,4098.0,168477.0,1231500.0,3741.0,4093.0,53.0,0.0,296.0,0.0,0.0,103.0,625.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 1,4674.0,4059.0,195.0,14.0,190.0,1.0,192.0,3968.0,92540.0,479000.0,3311.0
11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",6267,4263.0,148456.0,761900.0,3688.0,4731.0,335.0,27.0,339.0,0.0,11.0,244.0,607.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 8.01,6721.0,5339.0,316.0,11.0,475.0,0.0,502.0,4649.0,80266.0,367700.0,3731.0
11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",3476,2538.0,99808.0,970300.0,2232.0,2253.0,215.0,0.0,343.0,0.0,0.0,102.0,563.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 8.02,2806.0,2304.0,93.0,9.0,219.0,0.0,163.0,2131.0,76919.0,421500.0,1839.0
11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",7853,5233.0,164180.0,919000.0,4683.0,5835.0,316.0,0.0,492.0,0.0,0.0,447.0,763.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 10.01,6062.0,5216.0,223.0,14.0,267.0,0.0,323.0,4535.0,109770.0,378700.0,3722.0
11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3217,2600.0,91711.0,420800.0,1672.0,1224.0,1435.0,0.0,41.0,0.0,0.0,79.0,438.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 17.02,2240.0,391.0,1678.0,8.0,28.0,0.0,128.0,1612.0,52393.0,158000.0,605.0
11001003000,"Census Tract 30, District of Columbia, District of Columbia",3279,2545.0,67457.0,677900.0,1628.0,1316.0,1275.0,7.0,95.0,0.0,9.0,46.0,538.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 30,2829.0,213.0,1907.0,6.0,30.0,0.0,663.0,1592.0,25539.0,189700.0,304.0
11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",4066,3347.0,121250.0,687200.0,2461.0,1700.0,1765.0,0.0,182.0,0.0,8.0,159.0,252.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 33.01,2707.0,154.0,2443.0,2.0,15.0,0.0,84.0,1842.0,39107.0,149900.0,519.0
11001003600,"Census Tract 36, District of Columbia, District of Columbia",4833,4124.0,93734.0,630600.0,2947.0,2129.0,1281.0,0.0,569.0,0.0,0.0,215.0,639.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 36,3915.0,344.0,2480.0,19.0,134.0,0.0,924.0,2572.0,22485.0,170400.0,522.0
11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",2538,2248.0,105978.0,469400.0,2072.0,1918.0,35.0,9.0,144.0,0.0,7.0,72.0,353.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 42.02,2889.0,2025.0,234.0,10.0,304.0,0.0,272.0,2534.0,47745.0,239400.0,2036.0
11001000600,"Census Tract 6, District of Columbia, District of Columbia",4998,3853.0,221103.0,906300.0,3499.0,3554.0,271.0,0.0,288.0,0.0,9.0,100.0,776.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 6,4919.0,3669.0,658.0,16.0,217.0,0.0,331.0,3990.0,89507.0,412900.0,2892.0
11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",3375,2459.0,111361.0,834600.0,1959.0,2145.0,319.0,0.0,181.0,0.0,9.0,122.0,599.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 14.02,3925.0,2948.0,582.0,16.0,154.0,0.0,206.0,3354.0,84105.0,340100.0,1555.0
11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",4202,2988.0,87256.0,597000.0,1428.0,781.0,2326.0,7.0,66.0,0.0,46.0,82.0,894.0,Washington,Washington-Arlington-Alexandria,DC,District of Columbia,Census Tract 20.02,3781.0,325.0,2778.0,22.0,45.0,1.0,583.0,2585.0,47619.0,164800.0,794.0
