GEOID,name,total_population_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,hispanic_or_latino_17,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
13089020100,"Census Tract 201, DeKalb County, Georgia",2076,1885.0,36.0,0.0,25.0,0.0,95.0,Atlanta,False,6.672,-1.126,-0.224,-0.647,-6.192,0.0,+33.7998709,-084.3432667
13089020200,"Census Tract 202, DeKalb County, Georgia",2045,1596.0,187.0,0.0,101.0,0.0,108.0,Atlanta,False,-8.722,2.642,-0.546,2.299,2.189,0.0,+33.7756064,-084.3402667
13089020300,"Census Tract 203, DeKalb County, Georgia",4151,3612.0,146.0,27.0,81.0,0.0,149.0,Atlanta,False,9.066,-13.5,0.128,0.539,1.379,0.0,+33.7659856,-084.3295009
13089020400,"Census Tract 204, DeKalb County, Georgia",2574,2251.0,74.0,0.0,132.0,0.0,74.0,Atlanta,False,0.274,-3.225,-0.517,3.014,-0.466,0.0,+33.7660727,-084.3443392
13089020500,"Census Tract 205, DeKalb County, Georgia",3305,1596.0,1286.0,0.0,95.0,0.0,180.0,Atlanta,True,41.047,-50.412,-0.062,2.593,2.511,0.0,+33.7526586,-084.3416193
13089020600,"Census Tract 206, DeKalb County, Georgia",2102,766.0,1083.0,38.0,16.0,0.0,66.0,Atlanta,True,34.272,-45.202,1.485,0.623,2.586,0.0,+33.7576172,-084.3356822
13089020700,"Census Tract 207, DeKalb County, Georgia",2231,1235.0,813.0,0.0,36.0,0.0,55.0,Atlanta,True,46.116,-43.895,-0.191,1.309,-7.348,0.0,+33.7538960,-084.3249841
13089020801,"Census Tract 208.01, DeKalb County, Georgia",2619,1469.0,914.0,0.0,17.0,0.0,46.0,Atlanta,False,43.231,-49.589,-0.258,0.465,-0.234,0.0,+33.7558508,-084.3162221
13089020802,"Census Tract 208.02, DeKalb County, Georgia",4764,1717.0,2624.0,0.0,115.0,0.0,208.0,Atlanta,False,22.108,-28.178,-0.225,2.274,1.978,-0.028,+33.7469340,-084.3020704
13089020900,"Census Tract 209, DeKalb County, Georgia",5811,2708.0,2790.0,0.0,108.0,0.0,128.0,Atlanta,True,30.7,-32.873,-0.248,1.3,0.045,0.0,+33.7365044,-084.3368900
13089021415,"Census Tract 214.15, DeKalb County, Georgia",3678,2443.0,185.0,66.0,303.0,0.0,598.0,Atlanta,False,33.794,-7.52,1.566,3.955,-33.745,-0.008,+33.8397088,-084.3448974
13089022401,"Census Tract 224.01, DeKalb County, Georgia",3708,2968.0,328.0,6.0,197.0,0.0,68.0,Atlanta,False,-9.908,4.285,-0.25,2.53,-0.15,-0.026,+33.7884482,-084.3430661
13089022402,"Census Tract 224.02, DeKalb County, Georgia",6188,2634.0,845.0,0.0,2043.0,0.0,371.0,Atlanta,False,-27.096,4.229,-0.197,15.809,2.992,-0.022,+33.7981091,-084.3224275
13089023601,"Census Tract 236.01, DeKalb County, Georgia",3092,876.0,2051.0,20.0,39.0,0.0,79.0,Atlanta,True,24.309,-27.072,0.357,0.778,0.785,0.0,+33.7347291,-084.2987230
13089023700,"Census Tract 237, DeKalb County, Georgia",6211,994.0,4796.0,75.0,17.0,1.0,87.0,Atlanta,True,12.311,-17.606,1.034,0.086,0.342,0.016,+33.7313084,-084.3183573
13089980000,"Census Tract 9800, DeKalb County, Georgia",0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta,False,,,,,,,+33.7426368,-084.3022466
13121000100,"Census Tract 1, Fulton County, Georgia",5183,4611.0,92.0,0.0,114.0,0.0,166.0,Atlanta,False,-4.341,-0.538,-0.289,0.634,0.964,0.0,+33.7997992,-084.3549254
13121000200,"Census Tract 2, Fulton County, Georgia",6282,5539.0,251.0,0.0,188.0,0.0,183.0,Atlanta,False,-0.612,-1.272,-0.385,0.919,-0.152,0.0,+33.7916329,-084.3641988
13121000400,"Census Tract 4, Fulton County, Georgia",1805,1495.0,196.0,0.0,45.0,0.0,36.0,Atlanta,False,-6.289,3.741,-0.24,1.269,0.109,0.0,+33.7883241,-084.3785105
13121000500,"Census Tract 5, Fulton County, Georgia",5572,3674.0,1099.0,0.0,341.0,15.0,326.0,Atlanta,False,-9.056,0.925,-0.513,3.26,3.528,0.242,+33.7961563,-084.3853669
13121000600,"Census Tract 6, Fulton County, Georgia",6350,2989.0,998.0,0.0,1721.0,25.0,376.0,Atlanta,False,-14.621,3.342,-0.037,7.154,1.377,0.357,+33.7853862,-084.4056539
13121000700,"Census Tract 7, Fulton County, Georgia",3121,699.0,2108.0,23.0,31.0,8.0,180.0,Atlanta,False,8.373,-15.618,0.681,0.317,3.739,0.003,+33.7799603,-084.4233105
13121001001,"Census Tract 10.01, Fulton County, Georgia",2740,1502.0,269.0,13.0,732.0,0.0,119.0,Atlanta,False,-8.947,-0.569,0.387,5.431,0.732,-0.033,+33.7828223,-084.3902405
13121001002,"Census Tract 10.02, Fulton County, Georgia",6998,3360.0,1263.0,52.0,1574.0,0.0,530.0,Atlanta,False,-15.75,7.661,0.656,1.208,3.963,-0.033,+33.7763538,-084.3995123
13121001100,"Census Tract 11, Fulton County, Georgia",4356,3097.0,356.0,56.0,511.0,19.0,162.0,Atlanta,False,-3.251,-8.876,0.975,8.189,-0.719,0.436,+33.7841633,-084.3830169
13121001201,"Census Tract 12.01, Fulton County, Georgia",4030,3028.0,463.0,0.0,184.0,0.0,249.0,Atlanta,False,4.576,-8.702,-0.739,1.038,1.674,-0.024,+33.7763742,-084.3803049
13121001202,"Census Tract 12.02, Fulton County, Georgia",4141,2654.0,725.0,30.0,329.0,0.0,273.0,Atlanta,False,-6.469,-2.683,-0.015,4.417,2.088,-0.024,+33.7767840,-084.3851556
13121001300,"Census Tract 13, Fulton County, Georgia",4655,2728.0,1088.0,0.0,268.0,0.0,433.0,Atlanta,False,-11.177,-1.483,-0.385,3.858,6.582,0.0,+33.7761933,-084.3715699
13121001400,"Census Tract 14, Fulton County, Georgia",2281,1955.0,71.0,0.0,79.0,0.0,68.0,Atlanta,False,3.642,-9.0,-0.376,1.069,0.399,0.0,+33.7770784,-084.3622634
13121001500,"Census Tract 15, Fulton County, Georgia",4637,3314.0,475.0,0.0,125.0,0.0,565.0,Atlanta,False,-11.936,0.496,-0.594,0.223,8.928,0.0,+33.7764812,-084.3539881
13121001600,"Census Tract 16, Fulton County, Georgia",2304,1705.0,379.0,0.0,107.0,0.0,80.0,Atlanta,False,-5.926,2.709,-0.863,1.766,1.098,-0.072,+33.7664826,-084.3570224
13121001700,"Census Tract 17, Fulton County, Georgia",4439,1965.0,1942.0,0.0,173.0,0.0,237.0,Atlanta,True,31.897,-39.81,-0.399,3.578,2.067,0.0,+33.7659024,-084.3671952
13121001800,"Census Tract 18, Fulton County, Georgia",4336,1894.0,1997.0,0.0,281.0,0.0,137.0,Atlanta,False,8.078,-14.0,-0.394,4.877,1.296,0.0,+33.7663445,-084.3780718
13121001900,"Census Tract 19, Fulton County, Georgia",5188,2269.0,1600.0,32.0,848.0,10.0,305.0,Atlanta,True,18.041,-38.278,0.193,14.365,3.522,0.193,+33.7661809,-084.3873376
13121002100,"Census Tract 21, Fulton County, Georgia",2640,740.0,1575.0,0.0,214.0,0.0,93.0,Atlanta,False,7.877,-8.555,-0.254,-0.413,1.107,0.0,+33.7655158,-084.3948076
13121002300,"Census Tract 23, Fulton County, Georgia",1500,109.0,1369.0,0.0,0.0,0.0,0.0,Atlanta,False,6.125,-6.006,-0.147,-0.368,-1.032,0.0,+33.7672497,-084.4186374
13121002400,"Census Tract 24, Fulton County, Georgia",2645,100.0,2491.0,0.0,26.0,0.0,21.0,Atlanta,True,2.849,-4.079,-0.081,0.78,0.308,0.0,+33.7586698,-084.4248089
13121002500,"Census Tract 25, Fulton County, Georgia",2271,79.0,2073.0,3.0,13.0,0.0,44.0,Atlanta,True,2.823,-6.498,0.082,0.471,0.574,0.0,+33.7590744,-084.4126613
13121002600,"Census Tract 26, Fulton County, Georgia",1777,43.0,1538.0,0.0,21.0,0.0,133.0,Atlanta,False,-0.265,-9.459,-0.073,1.182,6.251,0.0,+33.7587937,-084.4026285
13121002800,"Census Tract 28, Fulton County, Georgia",5005,1395.0,2743.0,21.0,361.0,0.0,367.0,Atlanta,False,19.058,-20.116,0.21,6.793,-8.127,0.0,+33.7580870,-084.3793990
13121002900,"Census Tract 29, Fulton County, Georgia",2385,1229.0,880.0,0.0,136.0,0.0,78.0,Atlanta,True,32.625,-36.096,-1.2,4.877,-2.656,0.0,+33.7580053,-084.3693491
13121003000,"Census Tract 30, Fulton County, Georgia",3325,2646.0,271.0,15.0,180.0,0.0,114.0,Atlanta,False,-3.145,-2.927,-0.362,3.28,1.193,0.0,+33.7587580,-084.3572779
13121003100,"Census Tract 31, Fulton County, Georgia",1974,1170.0,696.0,0.0,18.0,0.0,72.0,Atlanta,True,48.139,-47.829,-0.492,-0.318,-0.166,0.0,+33.7520808,-084.3530446
13121003200,"Census Tract 32, Fulton County, Georgia",2251,1701.0,199.0,0.0,54.0,0.0,78.0,Atlanta,False,14.722,-24.84,-1.201,2.063,-0.071,-0.067,+33.7498233,-084.3650959
13121003500,"Census Tract 35, Fulton County, Georgia",2175,748.0,1220.0,10.0,29.0,0.0,87.0,Atlanta,False,17.841,-20.242,-0.268,0.282,-1.256,-0.081,+33.7509444,-084.3916567
13121003600,"Census Tract 36, Fulton County, Georgia",1358,159.0,1066.0,0.0,23.0,0.0,22.0,Atlanta,False,6.315,-12.847,-0.2,0.762,-0.244,0.0,+33.7518731,-084.4029233
13121003700,"Census Tract 37, Fulton County, Georgia",136,0.0,136.0,0.0,0.0,0.0,0.0,Atlanta,False,-0.628,1.047,-0.07,0.0,-0.279,0.0,+33.7489883,-084.4101331
13121003800,"Census Tract 38, Fulton County, Georgia",4091,670.0,2819.0,10.0,263.0,0.0,245.0,Atlanta,True,16.157,-28.673,0.156,6.165,4.405,0.0,+33.7508286,-084.4120230
13121003900,"Census Tract 39, Fulton County, Georgia",2522,29.0,2471.0,0.0,0.0,0.0,22.0,Atlanta,False,0.82,-0.868,-0.247,-0.33,0.666,0.0,+33.7500701,-084.4221427
13121004000,"Census Tract 40, Fulton County, Georgia",2522,69.0,2416.0,0.0,5.0,0.0,32.0,Atlanta,False,2.262,-2.434,-0.095,0.135,0.227,-0.032,+33.7499716,-084.4362262
13121004100,"Census Tract 41, Fulton County, Georgia",2127,145.0,1921.0,0.0,0.0,0.0,19.0,Atlanta,False,5.024,-4.149,-0.351,-1.754,-0.549,0.0,+33.7408850,-084.4280836
13121004200,"Census Tract 42, Fulton County, Georgia",2546,275.0,2238.0,0.0,0.0,0.0,33.0,Atlanta,False,8.996,-8.086,-0.12,-0.201,-0.349,0.0,+33.7390423,-084.4181855
13121004300,"Census Tract 43, Fulton County, Georgia",3060,428.0,2262.0,0.0,206.0,0.0,99.0,Atlanta,False,10.557,-20.952,-0.144,6.515,1.935,0.0,+33.7453619,-084.4091076
13121004400,"Census Tract 44, Fulton County, Georgia",2516,43.0,2353.0,0.0,0.0,0.0,58.0,Atlanta,True,1.127,-4.674,-0.233,-0.175,1.49,0.0,+33.7407585,-084.4017770
13121004800,"Census Tract 48, Fulton County, Georgia",1158,221.0,743.0,0.0,125.0,0.0,46.0,Atlanta,False,15.994,-30.972,-0.133,10.571,2.863,0.0,+33.7443311,-084.3839375
13121004900,"Census Tract 49, Fulton County, Georgia",2565,1432.0,862.0,4.0,37.0,0.0,141.0,Atlanta,False,9.233,-15.684,-0.187,0.413,3.145,0.0,+33.7409122,-084.3794478
13121005000,"Census Tract 50, Fulton County, Georgia",2013,1405.0,457.0,2.0,45.0,0.0,67.0,Atlanta,False,10.088,-5.096,-0.682,1.298,-6.979,-0.052,+33.7420805,-084.3650954
13121005200,"Census Tract 52, Fulton County, Georgia",5661,3819.0,1259.0,10.0,186.0,0.0,352.0,Atlanta,False,18.627,-21.931,-0.37,1.617,1.642,-0.058,+33.7355106,-084.3544774
13121005300,"Census Tract 53, Fulton County, Georgia",3619,2312.0,897.0,0.0,11.0,0.0,160.0,Atlanta,False,22.149,-27.911,-0.484,-1.321,1.413,0.0,+33.7321404,-084.3708875
13121005501,"Census Tract 55.01, Fulton County, Georgia",2298,408.0,1662.0,8.0,73.0,0.0,131.0,Atlanta,True,16.024,-22.44,0.095,1.783,4.012,0.0,+33.7298670,-084.3837371
13121005502,"Census Tract 55.02, Fulton County, Georgia",2523,112.0,2403.0,0.0,0.0,0.0,8.0,Atlanta,True,0.94,4.276,0.0,-0.814,-4.402,0.0,+33.7162175,-084.3867651
13121005700,"Census Tract 57, Fulton County, Georgia",1708,33.0,1596.0,0.0,5.0,0.0,29.0,Atlanta,False,1.425,-2.867,0.0,-1.661,0.54,0.0,+33.7319561,-084.4032660
13121005800,"Census Tract 58, Fulton County, Georgia",1924,313.0,1504.0,0.0,44.0,2.0,15.0,Atlanta,False,9.138,4.672,-0.493,-14.798,-0.969,0.104,+33.7318610,-084.4105985
13121006000,"Census Tract 60, Fulton County, Georgia",3643,98.0,3294.0,7.0,15.0,0.0,214.0,Atlanta,False,1.376,-7.047,0.051,0.201,5.194,0.0,+33.7379429,-084.4390350
13121006100,"Census Tract 61, Fulton County, Georgia",3758,41.0,3650.0,0.0,0.0,0.0,15.0,Atlanta,False,-0.527,-0.377,-0.162,-0.092,-0.086,0.0,+33.7277552,-084.4370324
13121006200,"Census Tract 62, Fulton County, Georgia",1664,88.0,1482.0,8.0,0.0,0.0,23.0,Atlanta,False,3.677,-8.708,0.481,0.0,0.824,0.0,+33.7284830,-084.4217305
13121006300,"Census Tract 63, Fulton County, Georgia",1384,94.0,1277.0,0.0,13.0,0.0,0.0,Atlanta,False,5.887,-4.378,-0.319,0.141,-1.33,0.0,+33.7237613,-084.3997049
13121006400,"Census Tract 64, Fulton County, Georgia",1075,238.0,522.0,57.0,0.0,0.0,308.0,Atlanta,False,16.756,-18.972,4.932,-2.86,5.098,0.0,+33.7188154,-084.3735791
13121006500,"Census Tract 65, Fulton County, Georgia",4726,707.0,3651.0,8.0,0.0,0.0,101.0,Atlanta,False,7.9,-14.275,-0.173,-0.064,1.281,0.0,+33.7141002,-084.4101260
13121006601,"Census Tract 66.01, Fulton County, Georgia",2087,319.0,1703.0,0.0,19.0,0.0,22.0,Atlanta,False,4.811,-6.029,-0.454,0.456,0.312,0.0,+33.7114357,-084.4224569
13121006602,"Census Tract 66.02, Fulton County, Georgia",1356,1.0,1307.0,0.0,0.0,0.0,22.0,Atlanta,False,-3.058,0.728,-0.071,-0.142,0.626,0.0,+33.7186105,-084.4286624
13121006700,"Census Tract 67, Fulton County, Georgia",4051,167.0,3810.0,0.0,6.0,0.0,32.0,Atlanta,True,-3.019,5.944,-0.103,-0.186,-3.346,0.0,+33.7021727,-084.3954527
13121006801,"Census Tract 68.01, Fulton County, Georgia",2494,514.0,1350.0,106.0,0.0,0.0,458.0,Atlanta,False,-7.563,-3.914,3.759,-1.322,6.393,-0.038,+33.7102924,-084.3677884
13121006802,"Census Tract 68.02, Fulton County, Georgia",2180,0.0,2136.0,0.0,0.0,0.0,0.0,Atlanta,False,0.0,-0.963,-0.105,-0.053,-0.897,0.0,+33.7042854,-084.3609663
13121006900,"Census Tract 69, Fulton County, Georgia",3861,1318.0,1675.0,32.0,0.0,0.0,782.0,Atlanta,True,13.088,-13.825,0.042,-0.363,-0.158,0.0,+33.7183138,-084.3587699
13121007001,"Census Tract 70.01, Fulton County, Georgia",4797,96.0,4494.0,1.0,0.0,0.0,205.0,Atlanta,False,-5.281,9.284,-0.2,-0.603,-2.999,0.0,+33.6915165,-084.3868055
13121007002,"Census Tract 70.02, Fulton County, Georgia",2548,62.0,2307.0,34.0,23.0,0.0,156.0,Atlanta,False,-3.522,18.378,1.116,-7.343,-6.422,0.0,+33.6920865,-084.3682107
13121007100,"Census Tract 71, Fulton County, Georgia",2266,113.0,1994.0,0.0,0.0,0.0,157.0,Atlanta,False,4.273,-9.047,-0.28,-0.255,5.4,0.0,+33.6963573,-084.3546554
