GEOID,name,total_population_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,hispanic_or_latino_17,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
24510010100,"Census Tract 101, Baltimore city, Maryland",3201,2772.0,219.0,0.0,120.0,0.0,58.0,Baltimore,True,-6.073,4.137,-0.753,2.653,-0.414,0.0,+39.2786343,-076.5745793
24510010200,"Census Tract 102, Baltimore city, Maryland",3145,2732.0,164.0,0.0,138.0,0.0,66.0,Baltimore,True,16.402,-12.432,-1.89,2.956,-6.1,-0.03,+39.2880851,-076.5740101
24510010300,"Census Tract 103, Baltimore city, Maryland",2552,2191.0,52.0,0.0,104.0,0.0,97.0,Baltimore,True,-2.092,-0.825,-1.607,3.02,-1.272,0.0,+39.2883650,-076.5802265
24510010400,"Census Tract 104, Baltimore city, Maryland",2573,2162.0,57.0,15.0,141.0,0.0,102.0,Baltimore,False,-2.99,-0.595,-1.033,2.391,-1.265,0.0,+39.2781675,-076.5795274
24510010500,"Census Tract 105, Baltimore city, Maryland",1712,1462.0,73.0,15.0,40.0,0.0,105.0,Baltimore,True,14.127,-4.17,-1.022,0.28,-9.207,0.0,+39.2888746,-076.5858889
24510020100,"Census Tract 201, Baltimore city, Maryland",1877,1331.0,124.0,9.0,58.0,0.0,267.0,Baltimore,True,4.795,-7.658,-1.573,0.337,0.261,0.0,+39.2887712,-076.5887716
24510020200,"Census Tract 202, Baltimore city, Maryland",1857,1131.0,233.0,15.0,119.0,0.0,308.0,Baltimore,False,8.599,-1.92,-1.046,3.876,-10.991,-0.045,+39.2886357,-076.5920299
24510020300,"Census Tract 203, Baltimore city, Maryland",3768,2838.0,84.0,0.0,287.0,0.0,337.0,Baltimore,False,-8.882,-3.336,-0.69,4.693,3.298,0.0,+39.2808610,-076.5940789
24510030100,"Census Tract 301, Baltimore city, Maryland",3355,409.0,2235.0,18.0,55.0,0.0,628.0,Baltimore,False,-3.262,-12.553,-0.394,0.962,15.331,-0.042,+39.2894076,-076.5965752
24510030200,"Census Tract 302, Baltimore city, Maryland",2327,1099.0,725.0,0.0,248.0,0.0,207.0,Baltimore,False,-17.974,4.799,-0.775,7.987,5.106,0.0,+39.2865363,-076.6022612
