GEOID,name,total_population_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,hispanic_or_latino_17,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
36005000100,"Census Tract 1, Bronx County, New York",7411,536.0,4267.0,22.0,125.0,0.0,2371.0,New York City,False,-1.305,-3.041,0.164,1.186,5.052,0.0,+40.7929362,-073.8812065
36005000200,"Census Tract 2, Bronx County, New York",5058,39.0,933.0,0.0,158.0,0.0,3928.0,New York City,False,-5.125,-4.318,-0.226,2.419,8.153,0.0,+40.8035344,-073.8606612
36005000400,"Census Tract 4, Bronx County, New York",5944,205.0,1701.0,30.0,33.0,0.0,3949.0,New York City,False,-1.801,6.348,0.233,-2.01,-1.608,0.0,+40.8087867,-073.8514252
36005001600,"Census Tract 16, Bronx County, New York",6115,226.0,1899.0,0.0,0.0,0.0,3873.0,New York City,False,-1.078,0.026,-0.477,-1.069,1.278,0.0,+40.8188478,-073.8580764
36005001900,"Census Tract 19, Bronx County, New York",2817,218.0,932.0,0.0,68.0,0.0,1504.0,New York City,True,1.994,3.35,-0.568,1.467,-8.921,0.0,+40.8009990,-073.9093729
36005002000,"Census Tract 20, Bronx County, New York",9608,132.0,3515.0,261.0,104.0,0.0,5827.0,New York City,False,-0.06,-6.127,2.562,0.321,6.17,0.0,+40.8175801,-073.8660962
36005002300,"Census Tract 23, Bronx County, New York",4733,11.0,1768.0,130.0,0.0,0.0,2850.0,New York City,False,-0.921,1.809,2.355,-0.207,-2.301,0.0,+40.8090823,-073.9258441
36005002400,"Census Tract 24, Bronx County, New York",130,60.0,70.0,0.0,0.0,0.0,0.0,New York City,False,,,,,,,+40.8157352,-073.8710826
36005002500,"Census Tract 25, Bronx County, New York",5760,141.0,1161.0,27.0,7.0,0.0,4417.0,New York City,False,1.665,1.092,0.273,-0.504,-2.353,0.0,+40.8070025,-073.9208749
36005002701,"Census Tract 27.01, Bronx County, New York",2958,0.0,878.0,0.0,0.0,0.0,2057.0,New York City,False,-0.462,-4.377,-0.066,-0.099,4.687,0.0,+40.8050606,-073.9163335
36005002702,"Census Tract 27.02, Bronx County, New York",4538,80.0,1460.0,64.0,0.0,0.0,2976.0,New York City,False,0.623,8.693,1.199,-0.19,-9.314,0.0,+40.8064490,-073.9137729
36005002800,"Census Tract 28, Bronx County, New York",5423,74.0,2882.0,0.0,40.0,0.0,2214.0,New York City,False,0.141,-24.645,-0.437,0.493,20.627,-0.035,+40.8225183,-073.8782336
36005003100,"Census Tract 31, Bronx County, New York",1675,29.0,427.0,0.0,29.0,0.0,1190.0,New York City,False,0.107,4.789,-0.203,1.596,-5.68,0.0,+40.8098988,-073.9056901
36005003300,"Census Tract 33, Bronx County, New York",3693,56.0,1193.0,124.0,0.0,0.0,2271.0,New York City,False,0.04,11.444,2.812,-0.481,-14.981,0.0,+40.8082418,-073.9119436
36005003500,"Census Tract 35, Bronx County, New York",3821,10.0,1060.0,36.0,0.0,0.0,2751.0,New York City,False,-0.429,2.431,0.683,-0.173,-1.513,0.0,+40.8109651,-073.9086696
36005003700,"Census Tract 37, Bronx County, New York",292,56.0,76.0,0.0,0.0,0.0,160.0,New York City,False,18.55,-10.375,-0.628,-0.209,-7.339,0.0,+40.8114570,-073.9121722
36005003800,"Census Tract 38, Bronx County, New York",1437,14.0,527.0,6.0,7.0,0.0,872.0,New York City,False,-2.431,1.836,0.022,-0.463,1.062,0.0,+40.8202946,-073.8633435
36005003900,"Census Tract 39, Bronx County, New York",6473,443.0,1034.0,39.0,0.0,0.0,4996.0,New York City,False,5.383,-2.708,0.537,-0.548,-1.612,0.0,+40.8097217,-073.9214264
36005004001,"Census Tract 40.01, Bronx County, New York",1428,168.0,124.0,0.0,138.0,0.0,886.0,New York City,False,-3.446,-9.768,-1.056,-2.449,11.13,0.0,+40.8282719,-073.8583355
36005004100,"Census Tract 41, Bronx County, New York",5946,97.0,1215.0,0.0,45.0,0.0,4564.0,New York City,False,0.639,-4.967,-0.382,0.433,3.952,-0.115,+40.8113856,-073.9194099
36005004200,"Census Tract 42, Bronx County, New York",7814,359.0,3685.0,57.0,120.0,0.0,3631.0,New York City,False,2.799,-0.801,0.463,1.07,-2.527,-0.053,+40.8239305,-073.8620068
36005004300,"Census Tract 43, Bronx County, New York",6190,5.0,1597.0,35.0,62.0,0.0,4396.0,New York City,False,-0.525,5.149,0.294,0.334,-6.514,0.0,+40.8136213,-073.9170376
36005004400,"Census Tract 44, Bronx County, New York",4446,141.0,1573.0,17.0,173.0,0.0,2559.0,New York City,False,1.865,-6.303,0.168,3.292,1.83,0.0,+40.8265155,-073.8664136
36005004600,"Census Tract 46, Bronx County, New York",1876,46.0,646.0,0.0,0.0,0.0,1172.0,New York City,False,-1.259,-6.882,-0.35,-1.12,10.022,0.0,+40.8224189,-073.8691776
36005004800,"Census Tract 48, Bronx County, New York",4536,51.0,1085.0,5.0,0.0,0.0,3298.0,New York City,False,-0.834,7.308,-0.298,-2.42,-5.134,0.0,+40.8270172,-073.8743044
36005005001,"Census Tract 50.01, Bronx County, New York",5101,62.0,1388.0,64.0,0.0,0.0,3539.0,New York City,False,-0.238,2.08,0.92,-1.201,-1.71,-0.028,+40.8249970,-073.8778533
36005005002,"Census Tract 50.02, Bronx County, New York",5583,71.0,1187.0,29.0,65.0,0.0,4094.0,New York City,False,-0.181,-3.869,0.184,-0.037,2.241,-0.028,+40.8273629,-073.8784350
36005005100,"Census Tract 51, Bronx County, New York",5721,9.0,1472.0,122.0,30.0,0.0,4088.0,New York City,False,-0.519,-11.96,1.759,0.098,10.851,0.0,+40.8132061,-073.9275676
36005005200,"Census Tract 52, Bronx County, New York",2151,8.0,630.0,30.0,8.0,0.0,1492.0,New York City,False,-0.909,-1.727,1.166,-1.87,5.09,0.0,+40.8256291,-073.8824329
36005005300,"Census Tract 53, Bronx County, New York",4167,55.0,2124.0,40.0,4.0,0.0,1930.0,New York City,False,0.575,-11.777,0.768,-0.12,10.555,0.0,+40.8516737,-073.9223642
