GEOID,name,total_population_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,hispanic_or_latino_17,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
06001400100,"Census Tract 4001, Alameda County, California",2991,2070.0,84.0,0.0,484.0,0.0,113.0,Oakland,False,-8.334,-2.196,-0.48,3.892,-0.105,-0.16,+37.8676275,-122.2319460
06001400200,"Census Tract 4002, Alameda County, California",1997,1424.0,18.0,5.0,196.0,0.0,177.0,Oakland,False,-7.698,-2.816,-0.745,0.81,2.737,0.0,+37.8481378,-122.2495916
06001400300,"Census Tract 4003, Alameda County, California",5123,3431.0,482.0,0.0,500.0,42.0,385.0,Oakland,False,-0.209,-6.334,-0.677,1.006,1.078,0.779,+37.8405970,-122.2544404
06001400400,"Census Tract 4004, Alameda County, California",3991,2625.0,238.0,25.0,484.0,0.0,377.0,Oakland,False,1.356,-12.375,-0.112,3.573,2.86,-0.027,+37.8482808,-122.2574477
06001400500,"Census Tract 4005, Alameda County, California",3944,2105.0,951.0,0.0,220.0,31.0,407.0,Oakland,True,16.187,-20.169,-0.674,-0.404,-0.326,0.757,+37.8485412,-122.2647277
06001400600,"Census Tract 4006, Alameda County, California",1635,729.0,402.0,4.0,158.0,0.0,140.0,Oakland,True,21.388,-36.163,-0.458,4.45,-0.107,0.0,+37.8419909,-122.2648882
06001400700,"Census Tract 4007, Alameda County, California",4837,1816.0,1679.0,79.0,200.0,0.0,857.0,Oakland,True,20.649,-35.025,0.981,-0.381,11.0,-0.067,+37.8417667,-122.2723528
06001400800,"Census Tract 4008, Alameda County, California",3796,1457.0,1217.0,9.0,501.0,0.0,421.0,Oakland,True,17.451,-27.026,-0.654,3.845,2.154,-0.03,+37.8454674,-122.2833943
06001400900,"Census Tract 4009, Alameda County, California",2394,1019.0,775.0,9.0,147.0,0.0,289.0,Oakland,True,22.247,-31.552,-0.52,0.765,3.847,0.0,+37.8394912,-122.2802646
06001401000,"Census Tract 4010, Alameda County, California",6247,1829.0,2286.0,8.0,186.0,85.0,1237.0,Oakland,True,20.082,-36.554,-0.345,-3.854,10.221,1.238,+37.8312254,-122.2719013
06001401100,"Census Tract 4011, Alameda County, California",4205,2123.0,644.0,0.0,688.0,0.0,436.0,Oakland,True,13.553,-19.499,-1.373,2.635,-1.41,-0.025,+37.8305012,-122.2638578
06001401200,"Census Tract 4012, Alameda County, California",2601,1332.0,430.0,24.0,227.0,0.0,486.0,Oakland,False,-2.366,-7.687,0.306,-4.39,11.078,0.0,+37.8306009,-122.2579158
06001401300,"Census Tract 4013, Alameda County, California",4054,1400.0,1319.0,35.0,620.0,0.0,546.0,Oakland,False,10.406,-19.706,-0.596,3.159,4.607,-0.071,+37.8181162,-122.2666978
06001401400,"Census Tract 4014, Alameda County, California",4013,889.0,1509.0,72.0,235.0,40.0,940.0,Oakland,True,16.843,-28.861,1.269,-5.624,8.608,0.934,+37.8207560,-122.2733874
06001401500,"Census Tract 4015, Alameda County, California",2638,979.0,947.0,11.0,181.0,23.0,362.0,Oakland,True,26.129,-35.258,-0.412,1.225,3.155,0.789,+37.8229286,-122.2806336
06001401600,"Census Tract 4016, Alameda County, California",2098,531.0,946.0,0.0,179.0,48.0,270.0,Oakland,True,15.119,-15.437,-1.293,-0.211,-3.789,2.288,+37.8173713,-122.2814822
