GEOID,name,total_population_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,hispanic_or_latino_17,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
11001000100,"Census Tract 1, District of Columbia, District of Columbia",5170,4093.0,53.0,0.0,296.0,0.0,625.0,Washington,False,-7.674,-3.147,-0.3,1.66,7.981,-0.021,+38.9060174,-077.0601874
11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3682,2351.0,272.0,7.0,493.0,0.0,436.0,Washington,False,-22.381,2.037,0.168,6.695,10.162,-1.209,+38.9092067,-077.0743257
11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4473,3440.0,327.0,0.0,196.0,0.0,363.0,Washington,False,-9.172,5.467,-0.156,-1.722,3.18,0.0,+38.9063048,-077.0696362
11001000300,"Census Tract 3, District of Columbia, District of Columbia",6374,4935.0,467.0,0.0,513.0,0.0,295.0,Washington,False,-5.419,3.857,-0.351,1.108,-1.05,0.0,+38.9179099,-077.0748728
11001000400,"Census Tract 4, District of Columbia, District of Columbia",1489,973.0,50.0,0.0,146.0,0.0,264.0,Washington,False,-13.396,-1.079,-0.132,3.646,9.584,0.0,+38.9227989,-077.0649214
11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3632,2763.0,162.0,0.0,128.0,0.0,511.0,Washington,False,-5.77,-0.748,-0.398,-2.805,8.391,-0.036,+38.9264548,-077.0514340
11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3296,2504.0,93.0,20.0,121.0,18.0,491.0,Washington,False,-8.605,0.123,0.382,-1.117,7.763,0.546,+38.9283547,-077.0595624
11001000600,"Census Tract 6, District of Columbia, District of Columbia",4998,3554.0,271.0,0.0,288.0,0.0,776.0,Washington,False,-3.48,-7.955,-0.325,1.351,8.797,0.0,+38.9368114,-077.0675114
11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",5643,4327.0,474.0,52.0,380.0,0.0,229.0,Washington,False,-3.253,4.486,0.58,0.158,-4.474,0.0,+38.9295498,-077.0766614
11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",3318,2283.0,189.0,20.0,319.0,0.0,366.0,Washington,False,-1.097,-1.279,0.092,0.474,0.267,-0.06,+38.9241127,-077.0778193
11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",6267,4731.0,335.0,27.0,339.0,0.0,607.0,Washington,False,-3.947,0.643,0.267,-1.658,2.217,0.0,+38.9221746,-077.0918347
